Employee_ID,Age,Department,Job_Level,Years_at_Company,Monthly_Hours_Worked,Remote_Work,Meetings_per_Week,Tasks_Completed_Per_Day,Overtime_Hours_Per_Week,Work_Life_Balance,Job_Satisfaction,Productivity_Score,Annual_Salary,Absences_Per_Year
1,45,Marketing,Mid,29,198,No,1,7,1,Good,5,88.73,182971,2
2,38,Marketing,Mid,7,157,Yes,13,3,10,Excellent,1,74.7,74217,13
3,53,Sales,Mid,8,146,No,2,15,11,Poor,4,67.85,176003,16
4,46,Finance,Mid,4,200,No,4,9,0,Poor,5,93.73,69209,1
5,28,Finance,Manager,5,193,Hybrid,11,9,6,Poor,7,93.3,195477,5
6,41,Sales,Mid,17,155,Yes,9,16,14,Average,2,96.3,107305,4
7,50,Marketing,Entry,6,124,Hybrid,13,14,5,Good,6,78.7,88026,13
8,40,Finance,Manager,29,170,No,6,8,12,Average,4,83.78,135854,10
9,32,Marketing,Entry,29,167,No,11,4,3,Excellent,9,71.47,46962,16
10,54,IT,Mid,28,146,Yes,2,11,13,Poor,6,95.04,71160,14
11,36,Sales,Senior,1,178,No,0,3,4,Good,7,74.35,108811,9
12,52,Sales,Entry,3,173,Yes,3,3,5,Average,5,86.88,117406,15
13,34,Finance,Entry,10,147,No,6,13,12,Average,7,92.16,159127,0
14,40,Operations,Mid,13,187,Yes,12,6,0,Average,8,71.53,61476,0
15,27,Operations,Mid,19,190,No,2,7,0,Average,2,91.93,119379,4
16,49,IT,Entry,14,127,Hybrid,14,13,4,Good,8,94.34,49596,7
17,43,Marketing,Mid,23,134,Hybrid,7,3,6,Excellent,2,50.53,143910,1
18,49,Finance,Entry,11,148,Hybrid,10,14,0,Average,8,71.87,61464,5
19,37,Marketing,Entry,26,192,Hybrid,3,11,0,Average,2,97.8,125468,4
20,54,IT,Senior,18,139,No,9,7,11,Good,4,52.74,90741,6
21,47,HR,Entry,11,184,Yes,10,16,4,Average,7,72.04,73371,0
22,44,Finance,Mid,15,126,Hybrid,13,8,7,Excellent,9,90.69,101226,19
23,22,Operations,Manager,25,153,Hybrid,8,4,10,Good,7,74.17,105218,4
24,50,Operations,Entry,4,129,No,2,17,3,Poor,8,86.46,159360,10
25,29,Finance,Entry,11,167,No,13,16,0,Average,3,92.98,137447,4
26,24,Sales,Manager,6,189,Yes,4,13,2,Average,2,60.16,100346,5
27,34,HR,Mid,22,144,Yes,8,13,3,Average,4,60.57,169106,13
28,41,Operations,Senior,18,195,No,11,13,3,Average,5,87.31,139806,15
29,26,Operations,Senior,12,160,Hybrid,9,10,5,Poor,2,67.86,69362,2
30,33,Operations,Senior,26,197,No,8,16,8,Average,6,64.94,170986,17
31,38,Operations,Manager,27,130,No,13,4,14,Average,2,80.64,160950,1
32,35,Finance,Entry,16,131,No,6,3,12,Good,7,98.36,147883,16
33,47,Marketing,Mid,20,202,Yes,11,15,1,Average,7,59.12,86594,18
34,51,IT,Mid,16,161,Hybrid,8,11,14,Average,5,85.74,186653,1
35,53,HR,Senior,18,211,Yes,7,13,9,Excellent,8,83.54,196208,0
36,51,Sales,Entry,26,172,No,9,10,10,Poor,2,87.85,136758,19
37,33,Sales,Senior,14,202,No,13,17,1,Good,8,76.87,155649,16
38,57,Marketing,Senior,17,148,Yes,12,17,14,Average,9,88.58,127264,4
39,40,IT,Entry,15,164,No,7,13,13,Poor,5,50.31,89728,8
40,46,Sales,Mid,10,218,No,13,18,4,Good,5,78.92,59004,9
41,54,Sales,Entry,7,142,Yes,2,16,4,Good,4,56.65,104339,12
42,42,IT,Mid,5,179,No,2,11,2,Poor,4,80.9,183306,3
43,23,HR,Mid,11,199,Hybrid,9,14,8,Average,5,87.49,156486,3
44,58,Finance,Mid,21,179,Yes,1,17,5,Good,5,72.03,199655,19
45,42,Finance,Mid,3,140,Hybrid,0,12,8,Average,5,83.77,94964,16
46,47,IT,Mid,17,178,Yes,10,12,10,Average,4,98.33,195820,16
47,53,IT,Mid,19,159,No,2,17,6,Excellent,4,97.66,166954,6
48,48,Operations,Entry,9,120,No,13,17,1,Good,7,64.92,129700,11
49,38,IT,Entry,4,144,Yes,9,4,9,Excellent,4,60.18,104622,4
50,25,Marketing,Mid,15,135,No,13,12,10,Average,5,82.27,181752,14
51,36,Marketing,Senior,21,152,Hybrid,13,9,14,Average,8,74.1,197020,0
52,54,IT,Mid,22,208,Yes,3,15,11,Excellent,6,54.77,93395,12
53,35,Marketing,Mid,29,141,No,3,12,14,Average,1,55.23,90683,1
54,47,Finance,Manager,9,186,Hybrid,4,15,10,Average,4,65.09,139440,5
55,23,IT,Senior,29,186,Hybrid,9,7,0,Good,8,99.95,57269,1
56,41,Finance,Manager,21,194,Hybrid,7,13,7,Poor,6,66.86,186886,15
57,47,Finance,Entry,16,162,Yes,13,10,9,Average,7,54.37,127990,15
58,23,Marketing,Mid,23,171,No,14,8,3,Excellent,4,67.56,185642,9
59,23,Sales,Mid,25,182,Hybrid,13,5,6,Good,3,60.77,111555,10
60,38,Sales,Senior,17,124,Yes,6,12,3,Good,4,67.78,91876,2
61,39,HR,Manager,18,144,Hybrid,5,10,1,Average,3,75.5,92339,6
62,25,HR,Entry,5,157,Hybrid,4,4,11,Average,1,96.69,74909,6
63,38,Sales,Entry,5,172,Hybrid,14,4,6,Average,2,51.44,82464,4
64,54,IT,Mid,28,135,No,13,15,6,Average,4,87.46,194704,9
65,44,Sales,Mid,29,215,Yes,9,16,11,Average,6,50.79,131977,12
66,34,Operations,Entry,9,212,Yes,9,15,2,Excellent,6,55.22,127223,1
67,28,Marketing,Manager,27,189,No,9,17,2,Average,9,70.64,44972,15
68,22,Sales,Entry,23,205,No,10,14,12,Average,3,92.51,198358,0
69,52,IT,Entry,10,192,No,13,14,1,Good,1,78.43,133949,18
70,57,IT,Mid,25,129,No,5,14,12,Good,6,82.2,196164,19
71,46,HR,Senior,27,174,Yes,13,14,10,Average,1,52.4,183805,16
72,51,HR,Mid,23,133,Hybrid,10,17,8,Average,9,91.62,150846,8
73,59,IT,Mid,22,203,Hybrid,12,8,2,Average,8,66.48,173196,9
74,42,Finance,Entry,22,188,Hybrid,8,10,12,Poor,1,58.47,120429,14
75,40,Operations,Entry,13,190,Yes,7,15,13,Average,1,52.16,173883,13
76,37,HR,Entry,17,173,No,7,5,14,Good,8,93.21,186903,9
77,54,Operations,Senior,13,175,Hybrid,5,16,3,Average,2,70.61,42285,1
